generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
235,1,-0.033203,-0.075363,-0.076172,-0.033203,-0.076172,0.070312,276,40,30,-0.57,11.88
236,1,0.044922,0.007447,0.009766,0.044922,0.009766,0.070312,276,36,29,-0.58,11.60
237,1,0.013672,-0.021752,-0.025391,0.013672,-0.025391,0.070312,278,28,29,-0.59,11.19
238,1,0.007812,-0.041137,-0.039062,0.007812,-0.039062,0.070312,266,36,30,-0.60,14.74
239,1,0.078125,0.018588,0.023438,0.078125,0.023438,0.078125,257,34,26,-0.61,11.91
240,1,0.000000,-0.038080,-0.037109,0.000000,-0.037109,0.078125,260,37,24,-0.62,11.29
241,1,0.017578,-0.041512,-0.044922,0.017578,-0.044922,0.078125,270,32,28,-0.63,11.10
242,1,0.021484,-0.038770,-0.031250,0.021484,-0.031250,0.078125,267,38,29,-0.64,11.89
243,1,0.050781,-0.024424,-0.031250,0.050781,-0.031250,0.078125,271,32,28,-0.64,11.08
244,1,0.001953,-0.038863,-0.037109,0.001953,-0.037109,0.078125,279,32,27,-0.65,10.50
245,1,0.017578,-0.037359,-0.035156,0.017578,-0.035156,0.078125,278,43,25,-0.66,12.13
246,1,0.021484,-0.030592,-0.027344,0.021484,-0.027344,0.078125,276,35,29,-0.67,11.36
247,1,0.041016,0.003150,0.003906,0.041016,0.003906,0.078125,273,38,29,-0.68,11.03
248,1,-0.003906,-0.044625,-0.046875,-0.003906,-0.046875,0.078125,278,35,29,-0.69,12.06
249,1,0.027344,-0.032277,-0.035156,0.027344,-0.035156,0.078125,280,40,23,-0.70,10.97
250,1,-0.005859,-0.052695,-0.048828,-0.005859,-0.048828,0.078125,280,32,28,-0.71,11.20
251,1,0.005859,-0.035854,-0.033203,0.005859,-0.033203,0.078125,281,40,29,-0.72,11.58
252,1,-0.033203,-0.086383,-0.089844,-0.033203,-0.089844,0.078125,287,28,25,-0.73,10.79
253,1,-0.039062,-0.107684,-0.111328,-0.039062,-0.111328,0.078125,280,40,30,-0.74,11.75
254,1,0.021484,-0.018904,-0.017578,0.021484,-0.017578,0.078125,270,40,22,-0.74,11.33
255,1,0.009766,-0.042959,-0.042969,0.009766,-0.042969,0.078125,279,42,23,-0.75,11.86
256,1,0.041016,-0.004500,-0.003906,0.041016,-0.003906,0.078125,277,39,22,-0.76,11.07
257,1,0.050781,-0.001730,0.001953,0.050781,0.001953,0.078125,285,33,27,-0.77,11.53
258,1,-0.025391,-0.061801,-0.060547,-0.025391,-0.060547,0.078125,293,41,23,-0.78,11.29
259,1,0.015625,-0.045096,-0.050781,0.015625,-0.050781,0.078125,293,44,26,-0.79,11.75
260,1,0.027344,-0.040820,-0.046875,0.027344,-0.046875,0.078125,294,43,32,-0.80,11.95
261,1,0.027344,-0.034877,-0.033203,0.027344,-0.033203,0.078125,294,35,26,-0.81,12.60
262,1,-0.025391,-0.074121,-0.072266,-0.025391,-0.072266,0.078125,281,34,29,-0.82,12.68
263,1,0.037109,-0.011354,-0.009766,0.037109,-0.009766,0.078125,285,34,30,-0.83,12.74
264,1,0.005859,-0.043551,-0.042969,0.005859,-0.042969,0.078125,285,40,23,-0.84,11.68
265,1,0.048828,-0.033270,-0.037109,0.048828,-0.037109,0.078125,289,41,31,-0.85,11.99
266,1,0.005859,-0.052150,-0.052734,0.005859,-0.052734,0.078125,284,38,29,-0.85,11.78
267,1,-0.013672,-0.052037,-0.046875,-0.013672,-0.046875,0.078125,283,31,31,-0.86,11.20
268,1,0.005859,-0.027621,-0.025391,0.005859,-0.025391,0.078125,284,36,34,-0.87,11.25
269,1,-0.001953,-0.035047,-0.035156,-0.001953,-0.035156,0.078125,285,39,24,-0.88,12.23
270,1,0.003906,-0.055205,-0.068359,0.003906,-0.068359,0.078125,298,34,32,-0.89,12.45
271,1,0.019531,-0.041068,-0.044922,0.019531,-0.044922,0.078125,300,42,31,-0.90,12.87
