generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
400,1,0.792969,0.403457,0.792969,0.403457,20,20,142,169,0.000000,0.000000,1.164062,7.58
401,1,0.394531,-0.045924,0.394531,-0.045924,20,20,151,180,0.000000,0.000000,0.000000,11.05
402,1,0.498047,0.250090,0.498047,0.250090,20,20,164,183,0.000000,0.000000,0.000000,10.40
403,1,0.464844,0.174174,0.464844,0.174174,20,20,157,185,0.000000,0.000000,0.000000,7.29
404,1,0.861328,0.459006,0.861328,0.459006,20,20,148,182,0.000000,0.000000,0.000000,5.85
405,1,0.599609,0.112191,0.599609,0.112191,20,20,143,171,0.000000,0.000000,0.000000,7.77
406,1,0.732422,0.003553,0.732422,0.003553,20,20,166,182,0.000000,0.000000,0.000000,8.35
407,1,0.990234,0.560115,0.990234,0.560115,20,20,148,183,0.000000,0.000000,0.000000,5.96
408,1,0.683594,0.411557,0.683594,0.411557,20,20,135,179,0.000000,0.000000,0.000000,7.60
409,1,0.238281,-0.549979,0.238281,-0.549979,20,20,152,187,0.000000,0.000000,0.000000,8.30
410,1,0.882812,0.492234,0.882812,0.492234,20,20,148,167,0.000000,0.000000,0.000000,6.60
411,1,0.892578,0.407559,0.892578,0.407559,20,20,164,191,0.000000,0.000000,0.000000,7.95
412,1,0.712891,0.323943,0.712891,0.323943,20,20,167,186,0.000000,0.000000,0.000000,7.38
413,1,0.248047,-0.233678,0.248047,-0.233678,20,20,168,192,0.000000,0.000000,0.000000,8.77
414,1,0.765625,0.362689,0.765625,0.362689,20,20,141,165,0.000000,0.000000,0.000000,7.67
415,1,0.816406,0.532986,0.816406,0.532986,20,20,149,178,0.000000,0.000000,0.000000,6.26
416,1,0.267578,-0.014674,0.267578,-0.014674,20,20,166,184,0.000000,0.000000,0.000000,6.54
